date,gpdm,gpmc
20150105,600145.SH,*ST国创
20150105,600178.SH,*ST东安
20150105,600072.SH,*ST钢构
20150105,600075.SH,*ST新业
20150105,600091.SH,ST明科
20150105,600381.SH,*ST贤成
20150105,600385.SH,ST金泰
20150105,600306.SH,*ST商城
20150105,600247.SH,*ST成城
20150105,600228.SH,*ST昌九
20150105,600282.SH,*ST南钢
20150105,600299.SH,*ST新材
20150105,600301.SH,ST南化
20150105,600265.SH,ST景谷
20150105,600817.SH,ST宏盛
20150105,600793.SH,ST宜纸
20150105,600860.SH,*ST京城
20150105,600871.SH,*ST仪化
20150105,601558.SH,*ST锐电
20150105,600550.SH,*ST天威
20150105,600598.SH,*ST大荒
20150105,600610.SH,*ST中纺
20150105,600689.SH,*ST三毛
20150105,002006.SZ,*ST精功
20150105,002015.SZ,*ST霞客
20150105,000822.SZ,*ST海化
20150105,002127.SZ,*ST新民
20150105,002134.SZ,*ST普林
20150105,002164.SZ,*ST东力
20150105,002163.SZ,*ST三鑫
20150105,002160.SZ,*ST常铝
20150105,000504.SZ,*ST传媒
20150105,000557.SZ,*ST广夏
20150105,000403.SZ,ST生化
20150105,000033.SZ,*ST新都
20150105,000779.SZ,*ST派神
20150105,000755.SZ,*ST三维
20150105,000659.SZ,*ST中富
20150105,002217.SZ,*ST合泰
20150105,002248.SZ,*ST东数
20150105,002234.SZ,*ST民和
20150105,002459.SZ,*ST天业
20150114,600610.SH,*ST中毅
20150128,002633.SZ,*ST申科
20150130,600715.SH,*ST松辽
20150211,600163.SH,*ST南纸
20150225,600984.SH,*ST建机
20150311,000976.SZ,*ST春晖
20150311,000711.SZ,*ST京蓝
20150312,000677.SZ,*ST海龙
20150318,600217.SH,*ST秦岭
20150323,002192.SZ,*ST路翔
20150324,600069.SH,*ST银鸽
20150325,000068.SZ,*ST华赛
20150331,600656.SH,*ST博元
20150331,600644.SH,*ST乐电
20150402,000927.SZ,*ST夏利
20150402,000155.SZ,ST川化
20150409,000912.SZ,*ST天化
20150413,600691.SH,*ST阳化
20150413,000510.SZ,*ST金路
20150415,000059.SZ,*ST华锦
20150416,000815.SZ,*ST美利
20150420,600444.SH,*ST国通
20150421,600539.SH,*ST狮头
20150421,600722.SH,*ST金化
20150423,600301.SH,*ST南化
20150423,000892.SZ,*ST星美
20150424,600401.SH,*ST海润
20150427,000799.SZ,*ST酒鬼
20150428,600710.SH,*ST常林
20150428,000995.SZ,*ST皇台
20150429,600608.SH,*ST沪科
20150429,600732.SH,*ST新梅
20150430,600962.SH,*ST中鲁
20150430,000611.SZ,*ST蒙发
20150430,002608.SZ,*ST舜船
20150430,002306.SZ,*ST云网
20150430,002417.SZ,*ST元达
20150504,600071.SH,*ST光学
20150504,600091.SH,*ST明科
20150504,600408.SH,*ST安泰
20150504,600242.SH,*ST中昌
20150504,600870.SH,*ST厦华
20150504,600779.SH,*ST水井
20150504,000155.SZ,*ST川化
20150504,000590.SZ,*ST古汉
20150701,600145.SH,*ST新亿
20150825,002192.SZ,*ST融捷
20151201,600311.SH,ST荣华
20151210,600163.SH,*ST闽能
