date,gpdm,gpmc
20170103,000001.SZ,平安银行
20170103,600192.SH,长城电工
20170103,600193.SH,创兴资源
20170103,600195.SH,中牧股份
20170103,600196.SH,复星医药
20170103,600197.SH,伊力特
20170103,600198.SH,大唐电信
20170103,600199.SH,金种子酒
20170103,600200.SH,江苏吴中
20170103,600201.SH,生物股份
20170103,600202.SH,哈空调
20170103,600203.SH,福日电子
20170103,600206.SH,有研新材
20170103,600207.SH,安彩高科
20170103,600208.SH,新湖中宝
20170103,600209.SH,罗顿发展
20170103,600210.SH,紫江企业
20170103,600211.SH,西藏药业
20170103,600212.SH,*ST江泉
20170103,600213.SH,亚星客车
20170103,600191.SH,华资实业
20170103,600190.SH,锦州港
20170103,600189.SH,吉林森工
20170103,600188.SH,兖州煤业
20170103,600166.SH,福田汽车
20170103,600167.SH,联美控股
20170103,600168.SH,武汉控股
20170103,600169.SH,太原重工
20170103,600170.SH,上海建工
20170103,600171.SH,上海贝岭
20170103,600172.SH,黄河旋风
20170103,600173.SH,卧龙地产
20170103,600175.SH,美都能源
20170103,600215.SH,长春经开
20170103,600176.SH,中国巨石
20170103,600178.SH,东安动力
20170103,600179.SH,安通控股
20170103,600180.SH,瑞茂通
20170103,600182.SH,佳通轮胎
20170103,600183.SH,生益科技
20170103,600184.SH,光电股份
20170103,600185.SH,格力地产
20170103,600186.SH,莲花健康
20170103,600187.SH,国中水务
20170103,600177.SH,雅戈尔
20170103,600165.SH,新日恒力
20170103,600216.SH,浙江医药
20170103,600218.SH,全柴动力
20170103,600246.SH,万通地产
20170103,600247.SH,ST成城
20170103,600248.SH,延长化建
20170103,600249.SH,两面针
20170103,600250.SH,南纺股份
20170103,600251.SH,冠农股份
20170103,600252.SH,中恒集团
20170103,600255.SH,鑫科材料
20170103,600256.SH,广汇能源
20170103,600257.SH,大湖股份
20170103,600258.SH,首旅酒店
20170103,600259.SH,广晟有色
20170103,600260.SH,凯乐科技
20170103,600261.SH,阳光照明
20170103,600262.SH,北方股份
20170103,600265.SH,*ST景谷
20170103,600266.SH,北京城建
20170103,600267.SH,海正药业
20170103,600268.SH,国电南自
20170103,600243.SH,青海华鼎
20170103,600242.SH,中昌数据
20170103,600241.SH,时代万恒
20170103,600240.SH,华业资本
20170103,600219.SH,南山铝业
20170103,600220.SH,江苏阳光
20170103,600221.SH,海南航空
20170103,600222.SH,太龙药业
