date,gpdm,gpmc
20160104,600163.SH,*ST闽能
20160104,600145.SH,*ST新亿
20160104,600217.SH,*ST秦岭
20160104,600069.SH,*ST银鸽
20160104,600071.SH,*ST光学
20160104,600091.SH,*ST明科
20160104,600444.SH,*ST国通
20160104,600401.SH,*ST海润
20160104,600408.SH,*ST安泰
20160104,600265.SH,ST景谷
20160104,600242.SH,*ST中昌
20160104,600247.SH,*ST成城
20160104,600311.SH,ST荣华
20160104,600301.SH,*ST南化
20160104,600870.SH,*ST厦华
20160104,600984.SH,*ST建机
20160104,600962.SH,*ST中鲁
20160104,600608.SH,*ST沪科
20160104,600644.SH,*ST乐电
20160104,600539.SH,*ST狮头
20160104,600793.SH,ST宜纸
20160104,600779.SH,*ST水井
20160104,600817.SH,ST宏盛
20160104,600691.SH,*ST阳化
20160104,600710.SH,*ST常林
20160104,600715.SH,*ST松辽
20160104,600732.SH,*ST新梅
20160104,600722.SH,*ST金化
20160104,000995.SZ,*ST皇台
20160104,000976.SZ,*ST春晖
20160104,002015.SZ,*ST霞客
20160104,000892.SZ,*ST星美
20160104,000912.SZ,*ST天化
20160104,000927.SZ,*ST夏利
20160104,002192.SZ,*ST融捷
20160104,000510.SZ,*ST金路
20160104,000590.SZ,*ST古汉
20160104,000557.SZ,*ST广夏
20160104,000403.SZ,ST生化
20160104,000155.SZ,*ST川化
20160104,000059.SZ,*ST华锦
20160104,000068.SZ,*ST华赛
20160104,000815.SZ,*ST美利
20160104,000799.SZ,*ST酒鬼
20160104,000711.SZ,*ST京蓝
20160104,000611.SZ,*ST蒙发
20160104,000659.SZ,*ST中富
20160104,000677.SZ,*ST海龙
20160104,002608.SZ,*ST舜船
20160104,002633.SZ,*ST申科
20160104,002306.SZ,*ST云网
20160104,002417.SZ,*ST元达
20160215,600603.SH,*ST兴业
20160301,002061.SZ,*ST江化
20160301,002109.SZ,*ST兴化
20160308,600721.SH,*ST百花
20160311,600179.SH,ST黑化
20160321,000968.SZ,*ST煤气
20160322,600675.SH,*ST中企
20160325,600230.SH,*ST沧大
20160329,600319.SH,*ST亚星
20160330,600091.SH,ST明科
20160330,600581.SH,*ST八钢
20160401,600806.SH,*ST昆机
20160401,000617.SZ,*ST济柴
20160401,000606.SZ,*ST明胶
20160405,000037.SZ,*ST南电A
20160411,600212.SH,*ST江泉
20160411,000856.SZ,*ST冀装
20160411,000831.SZ,*ST五稀
20160412,600375.SH,*ST星马
20160418,600520.SH,*ST中发
20160419,600339.SH,*ST天利
20160419,002173.SZ,*ST珍珠
20160420,000962.SZ,*ST东钽
20160420,000933.SZ,*ST神火
20160420,002173.SZ,*ST千足
20160420,002336.SZ,*ST人乐
20160421,000913.SZ,*ST钱江
20160421,000717.SZ,*ST韶钢
20160422,002379.SZ,*ST鲁丰
20160425,600701.SH,*ST工新
20160425,000950.SZ,*ST建峰
20160426,002199.SZ,*ST东晶
20160426,000504.SZ,*ST生物
20160426,000505.SZ,*ST珠江
20160427,600306.SH,*ST商城
20160427,600866.SH,*ST星湖
20160427,600760.SH,*ST黑豹
20160427,000633.SZ,*ST合金
20160427,002513.SZ,*ST蓝丰
20160428,600817.SH,*ST宏盛
20160428,000408.SZ,*ST金源
20160429,600346.SH,*ST橡塑
20160429,600390.SH,*ST金瑞
20160429,000622.SZ,*ST恒立
20160503,600179.SH,*ST黑化
20160503,600234.SH,*ST山水
20160503,600432.SH,*ST吉恩
20160503,600265.SH,*ST景谷
20160503,601918.SH,*ST新集
20160503,600546.SH,*ST山煤
20160503,600725.SH,*ST云维
20160503,000629.SZ,*ST钒钛
20160503,000670.SZ,*ST盈方
20160503,002289.SZ,*ST宇顺
20160503,002423.SZ,*ST中特
20160504,002069.SZ,*ST獐岛
20160504,000511.SZ,*ST烯碳
20160504,000693.SZ,ST华泽
20160504,000691.SZ,ST亚太
20160505,600608.SH,ST沪科
20160509,600247.SH,ST成城
20160616,000606.SZ,*ST易桥
20160623,002173.SZ,*ST创疗
20160629,600381.SH,ST春天
20160712,000611.SZ,*ST天首
20160715,600539.SH,ST狮头
20160913,600556.SH,ST慧球
