date,gpdm,gpmc
20180102,600275.SH,*ST昌鱼
20180102,600289.SH,ST信通
20180102,600265.SH,ST景谷
20180102,600247.SH,ST成城
20180102,600301.SH,ST南化
20180102,600234.SH,ST山水
20180102,600145.SH,*ST新亿
20180102,600149.SH,*ST坊展
20180102,600121.SH,*ST郑煤
20180102,600225.SH,*ST松江
20180102,600228.SH,*ST昌九
20180102,600556.SH,ST慧球
20180102,600540.SH,*ST新赛
20180102,600608.SH,*ST沪科
20180102,600401.SH,*ST海润
20180102,600403.SH,*ST大有
20180102,600423.SH,*ST柳化
20180102,600425.SH,*ST青松
20180102,600112.SH,*ST天成
20180102,600091.SH,ST明科
20180102,600074.SH,ST保千里
20180102,600636.SH,*ST爱富
20180102,600767.SH,*ST运盛
20180102,600815.SH,*ST厦工
20180102,600847.SH,*ST万里
20180102,600860.SH,*ST京城
20180102,600844.SH,*ST丹科
20180102,600817.SH,*ST宏盛
20180102,600680.SH,*ST上普
20180102,600654.SH,*ST中安
20180102,600732.SH,ST新梅
20180102,600733.SH,S*ST前锋
20180102,600747.SH,*ST大控
20180102,600696.SH,*ST匹凸
20180102,600725.SH,ST云维
20180102,600710.SH,*ST常林
20180102,601519.SH,*ST智慧
20180102,601558.SH,*ST锐电
20180102,600877.SH,*ST嘉陵
20180102,601106.SH,*ST一重
20180102,601005.SH,*ST重钢
20180102,002134.SZ,*ST普林
20180102,000972.SZ,*ST中基
20180102,000982.SZ,*ST中绒
20180102,002070.SZ,*ST众和
20180102,002306.SZ,*ST云网
20180102,002312.SZ,*ST三泰
20180102,002207.SZ,*ST准油
20180102,002248.SZ,*ST东数
20180102,000526.SZ,*ST紫学
20180102,000613.SZ,*ST东海A
20180102,000595.SZ,*ST宝实
20180102,000410.SZ,*ST沈机
20180102,000403.SZ,ST生化
20180102,000809.SZ,*ST新城
20180102,000932.SZ,*ST华菱
20180102,000953.SZ,*ST河化
20180102,000912.SZ,*ST天化
20180102,000922.SZ,*ST佳电
20180102,000803.SZ,*ST金宇
20180102,000693.SZ,*ST华泽
20180102,000659.SZ,*ST中富
20180102,000780.SZ,*ST平能
20180102,000755.SZ,*ST三维
20180102,002571.SZ,*ST德力
20180102,002490.SZ,*ST墨龙
20180102,002504.SZ,*ST弘高
20180102,002473.SZ,*ST圣莱
20180111,600421.SH,ST仰帆
20180119,002604.SZ,ST龙力
20180208,002188.SZ,ST巴士
20180208,002427.SZ,ST尤夫
20180209,600696.SH,ST匹凸
20180214,000737.SZ,*ST南风
20180222,600733.SH,SST前锋
20180329,600871.SH,*ST油服
20180402,000585.SZ,*ST东电
20180403,600877.SH,ST嘉陵
20180404,600608.SH,ST沪科
20180412,600321.SH,*ST正源
20180412,600767.SH,ST运盛
20180412,601558.SH,ST锐电
20180413,000655.SZ,*ST金岭
20180419,600397.SH,*ST安煤
20180423,000720.SZ,*ST新能
20180424,600150.SH,*ST船舶
20180424,600209.SH,*ST罗顿
20180424,600408.SH,*ST安泰
20180424,000422.SZ,*ST宜化
20180425,600202.SH,*ST哈空
20180425,600539.SH,*ST狮头
20180425,601798.SH,*ST蓝科
20180426,600289.SH,*ST信通
20180426,600238.SH,*ST椰岛
20180426,600778.SH,*ST友好
20180427,600198.SH,*ST大唐
20180427,600870.SH,*ST厦华
20180427,002194.SZ,*ST凡谷
20180427,000816.SZ,*ST慧业
20180427,002570.SZ,*ST因美
20180502,600749.SH,*ST藏旅
20180502,002188.SZ,*ST巴士
20180502,002018.SZ,*ST华信
20180502,002260.SZ,*ST德奥
20180502,002263.SZ,*ST东南
20180502,000707.SZ,*ST双环
20180502,002604.SZ,*ST龙力
20180503,600247.SH,*ST成城
20180503,600193.SH,*ST创兴
20180503,600634.SH,*ST富控
20180503,600074.SH,*ST保千
20180503,600807.SH,*ST天业
20180503,600701.SH,*ST工新
20180503,600896.SH,*ST海投
20180503,002122.SZ,*ST天马
20180503,000995.SZ,*ST皇台
20180503,000893.SZ,*ST东凌
20180503,002552.SZ,*ST宝鼎
20180503,002427.SZ,*ST尤夫
20180509,600275.SH,ST昌鱼
20180509,600817.SH,ST宏盛
20180510,600149.SH,ST坊展
20180510,600228.SH,ST昌九
20180510,600654.SH,ST中安
20180510,600747.SH,ST大控
20180611,000953.SZ,ST河化
20180619,600696.SH,ST岩石
20180706,002323.SZ,*ST百特
20180725,000409.SZ,*ST地矿
20180725,000939.SZ,*ST凯迪
20180726,002680.SZ,ST长生
20180814,603188.SH,ST亚邦
20180814,002496.SZ,ST辉丰
20180903,600610.SH,*ST毅达
20180903,600399.SH,*ST抚钢
20180903,000048.SZ,*ST康达
20180911,002207.SZ,ST准油
20181009,002259.SZ,ST升达
20181016,002102.SZ,ST冠福
20181031,002445.SZ,ST中南
20181101,000972.SZ,ST中基
20181204,002147.SZ,ST新光
