date,gpdm,gpmc
20170103,600212.SH,*ST江泉
20170103,600247.SH,ST成城
20170103,600265.SH,*ST景谷
20170103,600234.SH,*ST山水
20170103,600230.SH,*ST沧大
20170103,600091.SH,ST明科
20170103,600145.SH,*ST新亿
20170103,600432.SH,*ST吉恩
20170103,600390.SH,*ST金瑞
20170103,600301.SH,*ST南化
20170103,600306.SH,*ST商城
20170103,600319.SH,*ST亚星
20170103,600375.SH,*ST星马
20170103,600339.SH,*ST天利
20170103,601918.SH,*ST新集
20170103,600675.SH,*ST中企
20170103,600721.SH,*ST百花
20170103,600725.SH,*ST云维
20170103,600701.SH,*ST工新
20170103,600556.SH,ST慧球
20170103,600546.SH,*ST山煤
20170103,600520.SH,*ST中发
20170103,600539.SH,ST狮头
20170103,600603.SH,*ST兴业
20170103,600581.SH,*ST八钢
20170103,600866.SH,*ST星湖
20170103,600760.SH,*ST黑豹
20170103,600817.SH,*ST宏盛
20170103,600806.SH,*ST昆机
20170103,002061.SZ,*ST江化
20170103,002069.SZ,*ST獐岛
20170103,000933.SZ,*ST神火
20170103,000950.SZ,*ST建峰
20170103,000913.SZ,*ST钱江
20170103,000995.SZ,*ST皇台
20170103,000962.SZ,*ST东钽
20170103,000968.SZ,*ST煤气
20170103,002289.SZ,*ST宇顺
20170103,002199.SZ,*ST东晶
20170103,002109.SZ,*ST兴化
20170103,002173.SZ,*ST创疗
20170103,000504.SZ,*ST生物
20170103,000505.SZ,*ST珠江
20170103,000511.SZ,*ST烯碳
20170103,000606.SZ,*ST易桥
20170103,000037.SZ,*ST南电A
20170103,000403.SZ,ST生化
20170103,000408.SZ,*ST金源
20170103,000856.SZ,*ST冀装
20170103,000831.SZ,*ST五稀
20170103,000611.SZ,*ST天首
20170103,000670.SZ,*ST盈方
20170103,000617.SZ,*ST济柴
20170103,000622.SZ,*ST恒立
20170103,000629.SZ,*ST钒钛
20170103,000633.SZ,*ST合金
20170103,000717.SZ,*ST韶钢
20170103,000691.SZ,ST亚太
20170103,000693.SZ,ST华泽
20170103,002423.SZ,*ST中特
20170103,002336.SZ,*ST人乐
20170103,002379.SZ,*ST鲁丰
20170103,002608.SZ,*ST舜船
20170103,002513.SZ,*ST蓝丰
20170210,600265.SH,ST景谷
20170217,600339.SH,*ST油工
20170301,000710.SZ,*ST天仪
20170302,000953.SZ,*ST河化
20170314,600228.SH,*ST昌九
20170316,600725.SH,ST云维
20170320,000803.SZ,*ST金宇
20170321,600225.SH,*ST松江
20170321,600860.SH,*ST京城
20170321,000922.SZ,*ST佳电
20170322,600733.SH,S*ST前锋
20170327,600403.SH,*ST大有
20170327,600608.SH,*ST沪科
20170328,600234.SH,ST山水
20170328,600680.SH,ST上普
20170329,600696.SH,*ST匹凸
20170329,000595.SZ,*ST宝实
20170329,000755.SZ,*ST三维
20170330,600636.SH,*ST爱富
20170405,601005.SH,*ST重钢
20170405,000613.SZ,*ST东海A
20170407,002490.SZ,*ST墨龙
20170410,600301.SH,ST南化
20170411,600425.SH,*ST青松
20170411,000526.SZ,*ST紫学
20170418,000972.SZ,*ST中基
20170419,600121.SH,*ST郑煤
20170421,600767.SH,*ST运盛
20170421,601106.SH,*ST一重
20170424,000780.SZ,*ST平能
20170425,600680.SH,*ST上普
20170425,002571.SZ,*ST德力
20170426,601558.SH,*ST锐电
20170426,000809.SZ,*ST新城
20170427,600112.SH,*ST天成
20170427,002248.SZ,*ST东数
20170427,002306.SZ,*ST云网
20170428,600149.SH,*ST坊展
20170428,002312.SZ,*ST三泰
20170428,002207.SZ,*ST准油
20170502,600275.SH,*ST昌鱼
20170502,600540.SH,*ST新赛
20170502,601519.SH,*ST智慧
20170502,600815.SH,*ST厦工
20170502,002134.SZ,*ST普林
20170502,000693.SZ,*ST华泽
20170502,002473.SZ,*ST圣莱
20170503,600401.SH,*ST海润
20170503,600423.SH,*ST柳化
20170503,600747.SH,*ST大控
20170503,600654.SH,*ST中安
20170503,600877.SH,*ST嘉陵
20170503,600844.SH,*ST丹科
20170503,600847.SH,*ST万里
20170503,002070.SZ,*ST众和
20170503,000932.SZ,*ST华菱
20170503,000982.SZ,*ST中绒
20170503,000410.SZ,*ST沈机
20170503,000659.SZ,*ST中富
20170503,002504.SZ,*ST弘高
20170607,600732.SH,ST新梅
20170801,600710.SH,*ST常林
20171215,000912.SZ,*ST天化
20171227,600289.SH,ST信通
20171229,600074.SH,ST保千里
