date,gpdm,gpmc
20130104,000001.SZ,平安银行
20130104,600148.SH,长春一东
20130104,600149.SH,廊坊发展
20130104,600150.SH,中国船舶
20130104,600151.SH,航天机电
20130104,600152.SH,维科精华
20130104,600153.SH,建发股份
20130104,600155.SH,*ST宝硕
20130104,600156.SH,华升股份
20130104,600157.SH,永泰能源
20130104,600158.SH,中体产业
20130104,600159.SH,大龙地产
20130104,600160.SH,巨化股份
20130104,600161.SH,天坛生物
20130104,600162.SH,香江控股
20130104,600163.SH,福建南纸
20130104,600146.SH,大元股份
20130104,600165.SH,新日恒力
20130104,600145.SH,国创能源
20130104,600141.SH,兴发集团
20130104,600123.SH,兰花科创
20130104,600125.SH,铁龙物流
20130104,600126.SH,杭钢股份
20130104,600127.SH,金健米业
20130104,600128.SH,弘业股份
20130104,600129.SH,太极集团
20130104,600130.SH,波导股份
20130104,600131.SH,岷江水电
20130104,600132.SH,重庆啤酒
20130104,600133.SH,东湖高新
20130104,600135.SH,乐凯胶片
20130104,600136.SH,道博股份
20130104,600137.SH,浪莎股份
20130104,600138.SH,中青旅
20130104,600139.SH,西部资源
20130104,600143.SH,金发科技
20130104,600122.SH,宏图高科
20130104,600166.SH,福田汽车
20130104,600168.SH,武汉控股
20130104,600190.SH,锦州港
20130104,600191.SH,华资实业
20130104,600192.SH,长城电工
20130104,600193.SH,创兴资源
20130104,600195.SH,中牧股份
20130104,600196.SH,复星医药
20130104,600197.SH,伊力特
20130104,600198.SH,大唐电信
20130104,600199.SH,金种子酒
20130104,600200.SH,江苏吴中
20130104,600201.SH,金宇集团
20130104,600202.SH,哈空调
20130104,600203.SH,福日电子
20130104,600206.SH,有研硅股
20130104,600207.SH,安彩高科
20130104,600189.SH,吉林森工
20130104,600167.SH,联美控股
20130104,600188.SH,兖州煤业
20130104,600186.SH,莲花味精
20130104,600169.SH,太原重工
20130104,600170.SH,上海建工
20130104,600171.SH,上海贝岭
20130104,600172.SH,黄河旋风
20130104,600173.SH,卧龙地产
20130104,600175.SH,美都控股
20130104,600176.SH,中国玻纤
20130104,600177.SH,雅戈尔
20130104,600178.SH,东安动力
20130104,600179.SH,黑化股份
20130104,600180.SH,瑞茂通
20130104,600182.SH,佳通轮胎
20130104,600183.SH,生益科技
20130104,600184.SH,光电股份
20130104,600185.SH,格力地产
20130104,600187.SH,国中水务
20130104,600121.SH,郑州煤电
20130104,600120.SH,浙江东方
20130104,600119.SH,长江投资
20130104,600062.SH,华润双鹤
20130104,600063.SH,皖维高新
20130104,600064.SH,南京高科
20130104,600066.SH,宇通客车
20130104,600067.SH,冠城大通
20130104,600068.SH,葛洲坝
20130104,600069.SH,银鸽投资
20130104,600070.SH,浙江富润
20130104,600071.SH,凤凰光学
20130104,600072.SH,中船股份
20130104,600073.SH,上海梅林
20130104,600074.SH,中达股份
20130104,600075.SH,新疆天业
20130104,600076.SH,*ST华光
20130104,600077.SH,宋都股份
20130104,600061.SH,中纺投资
20130104,600078.SH,澄星股份
20130104,600060.SH,海信电器
20130104,600058.SH,五矿发展
20130104,600033.SH,福建高速
20130104,600035.SH,楚天高速
20130104,600036.SH,招商银行
20130104,600037.SH,歌华有线
20130104,600038.SH,哈飞股份
20130104,600039.SH,四川路桥
20130104,600048.SH,保利地产
20130104,600050.SH,中国联通
20130104,600051.SH,宁波联合
20130104,600052.SH,浙江广厦
20130104,600053.SH,中江地产
20130104,600054.SH,黄山旅游
20130104,600055.SH,华润万东
20130104,600056.SH,中国医药
20130104,600057.SH,象屿股份
20130104,600059.SH,古越龙山
20130104,600079.SH,人福医药
20130104,600080.SH,金花股份
20130104,600081.SH,东风科技
20130104,600104.SH,上汽集团
20130104,600105.SH,永鼎股份
20130104,600106.SH,重庆路桥
20130104,600107.SH,美尔雅
20130104,600108.SH,亚盛集团
20130104,600109.SH,国金证券
20130104,600110.SH,中科英华
20130104,600111.SH,包钢稀土
20130104,600112.SH,长征电气
20130104,600113.SH,浙江东日
20130104,600114.SH,东睦股份
20130104,600115.SH,东方航空
20130104,600116.SH,三峡水利
20130104,600117.SH,西宁特钢
20130104,600118.SH,中国卫星
20130104,600103.SH,青山纸业
20130104,600101.SH,明星电力
20130104,600100.SH,同方股份
20130104,600099.SH,林海股份
20130104,600082.SH,海泰发展
20130104,600083.SH,ST博信
20130104,600084.SH,中葡股份
20130104,600085.SH,同仁堂
20130104,600086.SH,东方金钰
20130104,600087.SH,*ST长油
20130104,600088.SH,中视传媒
20130104,600208.SH,新湖中宝
20130104,600089.SH,特变电工
20130104,600091.SH,ST明科
20130104,600093.SH,禾嘉股份
20130104,600094.SH,大名城
20130104,600095.SH,哈高科
20130104,600096.SH,云天化
20130104,600097.SH,开创国际
20130104,600098.SH,广州发展
20130104,600090.SH,啤酒花
20130104,600031.SH,三一重工
20130104,600209.SH,罗顿发展
20130104,600211.SH,西藏药业
20130104,600321.SH,国栋建设
20130104,600322.SH,天房发展
20130104,600323.SH,南海发展
20130104,600325.SH,华发股份
20130104,600326.SH,西藏天路
20130104,600327.SH,大东方
20130104,600328.SH,兰太实业
20130104,600329.SH,中新药业
20130104,600330.SH,天通股份
20130104,600331.SH,宏达股份
20130104,600332.SH,广州药业
20130104,600333.SH,长春燃气
20130104,600335.SH,国机汽车
20130104,600336.SH,澳柯玛
20130104,600337.SH,美克股份
20130104,600320.SH,振华重工
20130104,600338.SH,*ST珠峰
20130104,600319.SH,亚星化学
20130104,600317.SH,营口港
20130104,600300.SH,维维股份
20130104,600301.SH,南化股份
20130104,600302.SH,标准股份
20130104,600303.SH,曙光股份
20130104,600305.SH,恒顺醋业
20130104,600306.SH,商业城
20130104,600307.SH,酒钢宏兴
20130104,600308.SH,华泰股份
20130104,600309.SH,烟台万华
20130104,600310.SH,桂东电力
20130104,600311.SH,荣华实业
20130104,600312.SH,平高电气
20130104,600313.SH,中农资源
20130104,600315.SH,上海家化
20130104,600316.SH,洪都航空
20130104,600318.SH,巢东股份
20130104,600299.SH,蓝星新材
20130104,600339.SH,天利高新
20130104,600343.SH,航天动力
20130104,600368.SH,五洲交通
20130104,600369.SH,西南证券
20130104,600370.SH,三房巷
20130104,600371.SH,万向德农
20130104,600372.SH,中航电子
20130104,600373.SH,中文传媒
20130104,600375.SH,华菱星马
20130104,600376.SH,首开股份
20130104,600377.SH,宁沪高速
20130104,600378.SH,天科股份
20130104,600379.SH,宝光股份
20130104,600380.SH,健康元
20130104,600381.SH,贤成矿业
20130104,600382.SH,广东明珠
20130104,600383.SH,金地集团
20130104,600367.SH,红星发展
20130104,600340.SH,华夏幸福
20130104,600366.SH,宁波韵升
20130104,600363.SH,联创光电
20130104,600345.SH,长江通信
20130104,600346.SH,大橡塑
20130104,600348.SH,阳泉煤业
20130104,600350.SH,山东高速
20130104,600351.SH,亚宝药业
20130104,600352.SH,浙江龙盛
20130104,600353.SH,旭光股份
20130104,600354.SH,敦煌种业
20130104,600355.SH,精伦电子
20130104,600356.SH,恒丰纸业
20130104,600358.SH,国旅联合
20130104,600359.SH,*ST新农
20130104,600360.SH,华微电子
20130104,600361.SH,华联综超
20130104,600362.SH,江西铜业
20130104,600365.SH,通葡股份
20130104,600298.SH,安琪酵母
20130104,600297.SH,美罗药业
20130104,600295.SH,鄂尔多斯
20130104,600233.SH,大杨创世
20130104,600234.SH,ST天龙
20130104,600235.SH,民丰特纸
20130104,600236.SH,桂冠电力
20130104,600237.SH,铜峰电子
20130104,600238.SH,海南椰岛
20130104,600239.SH,云南城投
20130104,600240.SH,华业地产
20130104,600241.SH,时代万恒
20130104,600242.SH,中昌海运
20130104,600243.SH,青海华鼎
20130104,600246.SH,万通地产
20130104,600247.SH,成城股份
20130104,600248.SH,延长化建
20130104,600249.SH,两面针
20130104,600232.SH,金鹰股份
20130104,600250.SH,*ST南纺
20130104,600231.SH,凌钢股份
20130104,600229.SH,青岛碱业
20130104,600212.SH,江泉实业
