date,gpdm,gpmc
20130104,600155.SH,*ST宝硕
20130104,600076.SH,*ST华光
20130104,600083.SH,ST博信
20130104,600087.SH,*ST长油
20130104,600091.SH,ST明科
20130104,600338.SH,*ST珠峰
20130104,600359.SH,*ST新农
20130104,600234.SH,ST天龙
20130104,600250.SH,*ST南纺
20130104,600265.SH,ST景谷
20130104,600385.SH,*ST金泰
20130104,600870.SH,ST厦华
20130104,600877.SH,*ST嘉陵
20130104,600885.SH,ST宏发
20130104,600892.SH,ST宝诚
20130104,600793.SH,ST宜纸
20130104,600766.SH,*ST园城
20130104,600769.SH,ST祥龙
20130104,600771.SH,ST东盛
20130104,600988.SH,ST宝龙
20130104,600539.SH,ST狮头
20130104,600579.SH,*ST黄海
20130104,600421.SH,*ST国药
20130104,600392.SH,*ST天成
20130104,600455.SH,ST博通
20130104,600462.SH,*ST石岘
20130104,600705.SH,ST航投
20130104,600678.SH,*ST金顶
20130104,600681.SH,ST万鸿
20130104,600691.SH,*ST东碳
20130104,600751.SH,ST天海
20130104,600722.SH,ST金化
20130104,600733.SH,*ST前锋
20130104,600617.SH,ST联华
20130104,600603.SH,*ST兴业
20130104,600608.SH,ST沪科
20130104,600656.SH,ST博元
20130104,600671.SH,ST天目
20130104,600634.SH,ST澄海
20130104,000953.SZ,ST河化
20130104,000955.SZ,ST欣龙
20130104,000958.SZ,ST东热
20130104,000921.SZ,ST科龙
20130104,000922.SZ,ST佳电
20130104,000995.SZ,ST皇台
20130104,000971.SZ,ST迈亚
20130104,000972.SZ,*ST中基
20130104,000908.SZ,ST天一
20130104,000838.SZ,*ST国兴
20130104,000815.SZ,*ST美利
20130104,000806.SZ,*ST银河
20130104,000892.SZ,*ST星美
20130104,000899.SZ,*ST赣能
20130104,002002.SZ,ST金材
20130104,002102.SZ,*ST冠福
20130104,002113.SZ,ST天润
20130104,002114.SZ,*ST锌电
20130104,002019.SZ,*ST鑫富
20130104,002072.SZ,ST德棉
20130104,000504.SZ,ST传媒
20130104,000505.SZ,ST珠江
20130104,000509.SZ,ST华塑
20130104,000409.SZ,ST泰复
20130104,000420.SZ,*ST吉纤
20130104,000555.SZ,ST太光
20130104,000557.SZ,*ST广夏
20130104,000030.SZ,*ST盛润A
20130104,000035.SZ,*ST科健
20130104,000008.SZ,ST宝利来
20130104,000010.SZ,SST华新
20130104,000017.SZ,*ST中华A
20130104,000018.SZ,ST中冠A
20130104,000155.SZ,*ST川化
20130104,000056.SZ,*ST国商
20130104,000068.SZ,ST三星
20130104,000720.SZ,*ST能山
20130104,000767.SZ,*ST漳电
20130104,000677.SZ,*ST海龙
20130104,000751.SZ,*ST锌业
20130104,000676.SZ,ST思达
20130104,000595.SZ,*ST西轴
20130104,000605.SZ,*ST四环
20130104,000576.SZ,*ST甘化
20130104,000585.SZ,*ST东电
20130104,000662.SZ,*ST索芙
20130104,000669.SZ,*ST领先
20130104,000613.SZ,ST东海A
20130104,000673.SZ,ST当代
20130104,000633.SZ,SST合金
20130104,002200.SZ,*ST大地
20130201,002506.SZ,ST超日
20130205,000717.SZ,*ST韶钢
20130208,002162.SZ,*ST上控
20130218,600817.SH,ST宏盛
20130218,600556.SH,ST北生
20130218,000831.SZ,*ST关铝
20130218,000498.SZ,*ST路桥
20130218,000403.SZ,*ST生化
20130218,000038.SZ,*ST大通
20130218,000670.SZ,*ST天发
20130218,000681.SZ,*ST远东
20130218,000757.SZ,*ST浩物
20130218,000657.SZ,*ST中钨
20130218,000622.SZ,*ST恒立
20130306,600381.SH,ST贤成
20130314,000068.SZ,ST华赛
20130315,600961.SH,*ST株冶
20130327,002265.SZ,*ST西仪
20130329,601919.SH,*ST远洋
20130329,000898.SZ,*ST鞍钢
20130329,000505.SZ,*ST珠江
20130401,600538.SH,*ST国发
20130401,600707.SH,*ST彩虹
20130401,000617.SZ,*ST济柴
20130402,600760.SH,*ST黑豹
20130403,600980.SH,*ST北磁
20130415,002047.SZ,*ST成霖
20130424,601268.SH,*ST二重
20130424,000018.SZ,*ST中冠A
20130424,000676.SZ,*ST思达
20130425,000520.SZ,*ST凤凰
20130426,000953.SZ,*ST河化
20130502,600074.SH,*ST中达
20130502,600319.SH,*ST亚星
20130502,600381.SH,*ST贤成
20130502,600234.SH,*ST天龙
20130502,600444.SH,*ST国通
20130502,000908.SZ,*ST天一
20130502,000958.SZ,*ST东热
20130502,000820.SZ,*ST金城
20130502,000509.SZ,*ST华塑
20130502,000555.SZ,*ST太光
20130502,000594.SZ,*ST国恒
20130503,600301.SH,*ST南化
20130503,600358.SH,*ST联合
20130503,600265.SH,*ST景谷
20130503,600769.SH,*ST祥龙
20130503,600556.SH,*ST北生
20130503,600555.SH,*ST九龙
20130503,600617.SH,*ST联华
20130503,002506.SZ,*ST超日
20130708,600698.SH,ST轻骑
20130719,000010.SZ,ST华新
20131029,000504.SZ,*ST传媒
