,SC,GPDM,SSDATE,GPLB
156,0,000564,19940110,深市主板A股
157,0,000565,19940408,深市主板A股
158,0,000566,19940525,深市主板A股
159,0,000567,19940525,深市主板A股
160,0,000568,19940509,深市主板A股
161,0,000570,19940701,深市主板A股
162,0,000571,19940525,深市主板A股
163,0,000572,19940808,深市主板A股
164,0,000573,19940815,深市主板A股
165,0,000576,19940907,深市主板A股
166,0,000581,19980924,深市主板A股
167,0,000582,19951102,深市主板A股
168,0,000584,19951128,深市主板A股
169,0,000585,19951213,深市主板A股
170,0,000586,19951220,深市主板A股
171,0,000587,19960425,深市主板A股
172,0,000589,19960308,深市主板A股
173,0,000590,19960119,深市主板A股
174,0,000591,19960208,深市主板A股
175,0,000592,19960327,深市主板A股
176,0,000593,19960312,深市主板A股
177,0,000594,19960320,深市主板A股
178,0,000595,19960419,深市主板A股
179,0,000596,19960927,深市主板A股
180,0,000597,19960523,深市主板A股
181,0,000598,19960529,深市主板A股
182,0,000599,19960430,深市主板A股
183,0,000600,19960606,深市主板A股
184,0,000601,19960830,深市主板A股
185,0,000603,19960823,深市主板A股
186,0,000605,19960913,深市主板A股
187,0,000606,19961004,深市主板A股
188,0,000607,19960830,深市主板A股
189,0,000608,19960919,深市主板A股
190,0,000609,19961010,深市主板A股
191,0,000610,19960926,深市主板A股
192,0,000611,19961008,深市主板A股
193,0,000612,19960926,深市主板A股
194,0,000613,19970128,深市主板A股
195,0,000615,19961016,深市主板A股
196,0,000616,19961108,深市主板A股
197,0,000617,19961022,深市主板A股
198,0,000619,19961023,深市主板A股
199,0,000620,19961029,深市主板A股
200,0,000622,19961107,深市主板A股
201,0,000623,19961028,深市主板A股
202,0,000625,19970610,深市主板A股
203,0,000626,19961128,深市主板A股
204,0,000627,19961112,深市主板A股
205,0,000628,19961118,深市主板A股
206,0,000629,19961115,深市主板A股
207,0,000630,19961120,深市主板A股
208,0,000631,19961122,深市主板A股
209,0,000632,19961121,深市主板A股
210,0,000633,19961112,深市主板A股
211,0,000635,19961120,深市主板A股
212,0,000636,19961129,深市主板A股
213,0,000637,19961114,深市主板A股
214,0,000638,19961126,深市主板A股
215,0,000639,19961126,深市主板A股
216,0,000650,19961210,深市主板A股
217,0,000651,19961118,深市主板A股
218,0,000652,19961128,深市主板A股
219,0,000655,19961128,深市主板A股
220,0,000656,19961128,深市主板A股
221,0,000657,19961205,深市主板A股
222,0,000659,19961203,深市主板A股
223,0,000661,19961218,深市主板A股
224,0,000662,19961216,深市主板A股
225,0,000663,19961206,深市主板A股
226,0,000665,19961210,深市主板A股
227,0,000666,19961210,深市主板A股
228,0,000667,19961205,深市主板A股
229,0,000668,19961210,深市主板A股
230,0,000669,19961210,深市主板A股
231,0,000670,19961217,深市主板A股
232,0,000671,19961218,深市主板A股
233,0,000672,19961218,深市主板A股
234,0,000673,19970124,深市主板A股
235,0,000676,19961224,深市主板A股
236,0,000677,19961226,深市主板A股
237,0,000678,19970106,深市主板A股
238,0,000679,19970124,深市主板A股
239,0,000680,19970122,深市主板A股
240,0,000681,19970121,深市主板A股
241,0,000682,19970121,深市主板A股
242,0,000683,19970131,深市主板A股
243,0,000685,19970123,深市主板A股
244,0,000686,19970227,深市主板A股
245,0,000687,19970221,深市主板A股
246,0,000688,19970120,深市主板A股
247,0,000690,19970128,深市主板A股
248,0,000691,19970228,深市主板A股
249,0,000692,19970227,深市主板A股
